words,score
erika,13.5
ikame,13.3
kaime,13.3
akemi,13.3
imale,13.100000000000001
ameli,13.100000000000001
maile,13.100000000000001
marke,13.099999999999998
krema,13.099999999999998
kamer,13.099999999999998
merak,13.099999999999998
kalem,13.0
ikram,13.0
trake,13.0
emlak,13.0
marki,13.0
erkli,13.0
raket,13.0
teali,13.0
kelam,13.0
rekat,13.0
kiler,13.0
kemal,13.0
katre,13.0
erlik,13.0
malik,12.900000000000002
ikmal,12.900000000000002
ketal,12.900000000000002
erkan,12.9
klima,12.9
irkme,12.9
aleni,12.9
kamil,12.9
ekran,12.9
kenar,12.9
karne,12.9
kerim,12.899999999999999
rakit,12.899999999999999
tarik,12.899999999999999
emtia,12.899999999999999
ilmek,12.8
terki,12.8
talik,12.8
isale,12.8
tekir,12.8
maket,12.8
asker,12.8
katil,12.8
kitre,12.8
kerti,12.8
melik,12.8
imlek,12.8
emlik,12.8
kamet,12.8
serak,12.8
karni,12.799999999999999
anemi,12.799999999999999
aklen,12.799999999999999
anime,12.799999999999999
inkar,12.799999999999999
erkin,12.700000000000001
semai,12.7
takim,12.7
mesai,12.7
nakli,12.7
kitle,12.7
lakin,12.7
remil,12.7
tamik,12.7
tekli,12.7
tikel,12.7
etlik,12.7
tekil,12.7
nakil,12.7
rimel,12.7
keman,12.699999999999998
mekan,12.699999999999998
salik,12.600000000000001
kesir,12.600000000000001
laski,12.600000000000001
itmek,12.600000000000001
metal,12.600000000000001
sakil,12.600000000000001
tamir,12.6
litre,12.6
sirke,12.6
tirle,12.6
esrik,12.6
serik,12.6
liken,12.6
imkan,12.6
nikel,12.6
terli,12.6
anket,12.6
liret,12.6
mirat,12.6
kasem,12.599999999999998
maske,12.599999999999998
irsal,12.5
talim,12.5
imsak,12.5
antre,12.5
kesat,12.5
kaset,12.5
inmek,12.5
maksi,12.5
misak,12.5
eskil,12.5
terim,12.5
sekil,12.5
sakim,12.5
milat,12.5
nakit,12.499999999999998
intak,12.499999999999998
malen,12.499999999999998
antik,12.499999999999998
sikme,12.400000000000002
etkin,12.4
imren,12.4
liman,12.4
tiran,12.4
lanet,12.4
etnik,12.4
tekin,12.4
azeri,12.4
teras,12.4
ermin,12.4
metil,12.399999999999999
astik,12.399999999999999
melas,12.399999999999999
kesim,12.399999999999999
muare,12.399999999999999
taksi,12.399999999999999
selam,12.399999999999999
elmas,12.399999999999999
miras,12.399999999999999
emsal,12.399999999999999
kasti,12.399999999999999
kimse,12.399999999999999
sakit,12.399999999999999
misal,12.3
istek,12.3
setik,12.3
serim,12.3
alize,12.3
altes,12.3
ulema,12.3
ensar,12.3
tiner,12.3
milas,12.3
kaide,12.3
erzak,12.3
islam,12.3
izale,12.3
salim,12.3
akide,12.3
resmi,12.3
resim,12.3
kesit,12.3
satir,12.3
sakin,12.299999999999999
nemli,12.299999999999999
iskan,12.299999999999999
latin,12.299999999999999
kural,12.299999999999999
sanki,12.299999999999999
metan,12.299999999999999
karlı,12.200000000000001
arsin,12.200000000000001
lanse,12.200000000000001
aslen,12.200000000000001
nasir,12.200000000000001
kesin,12.200000000000001
eksin,12.200000000000001
nitel,12.2
temas,12.2
setir,12.2
ikraz,12.2
daire,12.2
karye,12.2
ister,12.2
lemis,12.2
misel,12.2
karst,12.2
sinek,12.2
tesri,12.2
linet,12.2
irade,12.2
kurma,12.2
kuram,12.2
manti,12.2
eküri,12.2
idare,12.2
selim,12.2
kumar,12.2
telin,12.2
tesir,12.2
oleik,12.2
kiraz,12.2
silme,12.2
liste,12.100000000000001
rekiz,12.100000000000001
telsi,12.100000000000001
keriz,12.100000000000001
kader,12.100000000000001
imalı,12.100000000000001
dekar,12.100000000000001
telis,12.100000000000001
ideal,12.100000000000001
suare,12.1
lezar,12.1
kırma,12.1
lazer,12.1
makul,12.1
nesir,12.1
metin,12.1
senir,12.1
rakım,12.1
siren,12.1
serin,12.1
usare,12.1
ırmak,12.1
kumla,12.1
seman,12.1
nimet,12.1
lisan,12.1
ibare,12.1
koral,12.1
irsen,12.1
temin,12.1
sanem,12.1
ümera,12.099999999999998
mürai,12.0
ezani,12.0
marul,12.0
kırat,12.0
idame,12.0
kılma,12.0
karun,12.0
alkım,12.0
katır,12.0
mezra,12.0
ismet,12.0
izlek,12.0
istem,12.0
metis,12.0
komar,12.0
zekat,12.0
nesil,12.0
sinle,12.0
saten,12.0
emraz,12.0
kadir,12.0
mezar,12.0
bekar,12.0
arkıt,12.0
rakun,12.0
kuran,12.0
kurna,12.0
idrak,12.0
kalım,12.0
artık,12.0
makro,12.0
sitem,12.0
tırak,12.0
kayme,12.0
ikona,11.999999999999998
altık,11.900000000000002
kıtal,11.900000000000002
ıtlak,11.900000000000002
emzik,11.900000000000002
tedai,11.900000000000002
yekta,11.900000000000002
haile,11.900000000000002
kalıt,11.900000000000002
ladik,11.900000000000002
katlı,11.900000000000002
ilahe,11.900000000000002
ihale,11.900000000000002
lokma,11.9
kibar,11.9
kabir,11.9
tasni,11.9
isnat,11.9
teori,11.9
nesim,11.9
kimya,11.9
karın,11.9
direk,11.9
olmak,11.9
sinme,11.9
derik,11.9
enkaz,11.9
kıran,11.9
ismen,11.9
enayi,11.9
bakir,11.9
akort,11.899999999999999
kotra,11.899999999999999
maktu,11.899999999999999
ülker,11.899999999999999
zamir,11.899999999999999
mirza,11.899999999999999
mariz,11.899999999999999
üremi,11.899999999999999
krome,11.899999999999999
kadem,11.899999999999999
kirde,11.899999999999999
utmak,11.899999999999999
ortak,11.899999999999999
rezil,11.899999999999999
riyal,11.899999999999999
şaire,11.899999999999999
torak,11.899999999999999
kredi,11.899999999999999
kebir,11.8
ikbal,11.8
helak,11.8
medar,11.8
kabil,11.8
dikel,11.8
ıltar,11.8
rulet,11.8
sarık,11.8
runik,11.8
ketum,11.8
murat,11.8
ürkme,11.8
atmık,11.8
ipeka,11.8
üsera,11.8
remiz,11.8
dilek,11.8
miyar,11.8
elhak,11.8
moral,11.8
yerli,11.8
delik,11.8
ikrah,11.8
eroin,11.8
kasır,11.8
armut,11.8
tıkma,11.8
kalın,11.8
zalim,11.8
bekri,11.8
ilzam,11.8
korte,11.8
rüesa,11.8
tariz,11.8
anüri,11.8
takım,11.8
katım,11.8
madik,11.8
hakir,11.8
kahir,11.8
ibate,11.8
mader,11.8
otlak,11.8
ikdam,11.8
anlık,11.8
roket,11.8
kanlı,11.8
mikro,11.8
kalbi,11.8
nokra,11.799999999999999
kadim,11.799999999999999
kenya,11.799999999999999
sulak,11.799999999999999
anide,11.799999999999999
tenis,11.799999999999999
senit,11.799999999999999
nazik,11.799999999999999
kuman,11.799999999999999
korna,11.799999999999999
kaslı,11.700000000000001
salık,11.700000000000001
trans,11.700000000000001
asklı,11.700000000000001
natuk,11.700000000000001
nazir,11.700000000000001
ıslak,11.700000000000001
saklı,11.700000000000001
dekan,11.700000000000001
aslık,11.700000000000001
kutan,11.700000000000001
kahil,11.7
sokra,11.7
makus,11.7
mutki,11.7
tomak,11.7
rahle,11.7
yaren,11.7
muska,11.7
sumak,11.7
eşkal,11.7
orkit,11.7
kusma,11.7
tarım,11.7
salur,11.7
bilar,11.7
kolan,11.7
dikta,11.7
dikme,11.7
herik,11.7
yetik,11.7
lider,11.7
ilhak,11.7
amber,11.7
tımar,11.7
yetki,11.7
bilek,11.7
kemah,11.7
olein,11.7
hakem,11.7
martı,11.7
kadit,11.7
aside,11.7
yakin,11.7
artım,11.7
şikar,11.7
lorta,11.7
çaker,11.7
triko,11.7
kamus,11.7
şarki,11.7
izlem,11.7
barem,11.7
kerih,11.7
halik,11.7
belki,11.7
ilkah,11.7
kemha,11.7
mezat,11.7
torik,11.7
terzi,11.7
belik,11.7
türki,11.600000000000001
helik,11.600000000000001
parke,11.600000000000001
eytam,11.600000000000001
külte,11.600000000000001
tomar,11.600000000000001
akrep,11.600000000000001
delta,11.600000000000001
kütle,11.600000000000001
işkal,11.600000000000001
ortam,11.600000000000001
siyak,11.600000000000001
kürit,11.600000000000001
kolit,11.600000000000001
dikte,11.600000000000001
eskiz,11.600000000000001
tezli,11.600000000000001
meyil,11.600000000000001
eksiz,11.600000000000001
korse,11.600000000000001
şerik,11.600000000000001
sekiz,11.600000000000001
demir,11.6
nakdi,11.6
hakim,11.6
kulis,11.6
yenik,11.6
turan,11.6
samur,11.6
namlu,11.6
erzin,11.6
beril,11.6
solak,11.6
nezir,11.6
tanık,11.6
inzal,11.6
berat,11.6
sımak,11.6
kısma,11.6
baret,11.6
kanıt,11.6
mülki,11.6
mukni,11.6
onlar,11.6
raunt,11.6
konma,11.6
keban,11.6
onmak,11.6
nazil,11.6
harem,11.6
kasım,11.6
sıkma,11.6
resul,11.6
turna,11.6
libre,11.6
batik,11.599999999999998
matiz,11.599999999999998
ehram,11.599999999999998
tazim,11.599999999999998
mahir,11.5
artın,11.5
esbak,11.5
bitek,11.5
sırma,11.5
sadik,11.5
natır,11.5
diken,11.5
rakip,11.5
içrek,11.5
sınai,11.5
maron,11.5
almus,11.5
kasıt,11.5
metro,11.5
namlı,11.5
siyek,11.5
şekli,11.5
gaile,11.5
hikem,11.5
surat,11.5
ersiz,11.5
dilme,11.5
adres,11.5
mısra,11.5
tabir,11.5
somak,11.5
nadir,11.5
şekil,11.5
hekim,11.5
dinar,11.5
harim,11.5
işlek,11.5
dinek,11.5
klişe,11.5
kireç,11.5
hamel,11.5
sakıt,11.5
serum,11.5
ıskat,11.5
tunik,11.5
sürek,11.5
balet,11.5
kabin,11.5
orman,11.5
teizm,11.5
betik,11.5
sarım,11.5
tadil,11.5
eşlik,11.5
hamle,11.5
rahim,11.5
bekas,11.5
ihram,11.5
temiz,11.5
sokma,11.5
türel,11.5
ütmek,11.5
rotil,11.5
zaten,11.5
turne,11.5
sunak,11.5
barit,11.5
tanrı,11.5
demli,11.5
maşer,11.5
roman,11.5
mizan,11.499999999999998
ahenk,11.499999999999998
kendi,11.499999999999998
meyan,11.499999999999998
laden,11.499999999999998
kanto,11.499999999999998
oktan,11.499999999999998
liyan,11.499999999999998
melun,11.499999999999998
nokta,11.499999999999998
hanek,11.499999999999998
nizam,11.499999999999998
kotan,11.499999999999998
akont,11.499999999999998
motel,11.400000000000002
yetim,11.400000000000002
aplik,11.400000000000002
ilave,11.400000000000002
halet,11.400000000000002
omlet,11.400000000000002
alevi,11.400000000000002
çilek,11.400000000000002
mabet,11.400000000000002
bilme,11.400000000000002
yitme,11.400000000000002
çelik,11.400000000000002
romen,11.4
endam,11.4
yelin,11.4
torna,11.4
tarih,11.4
moren,11.4
nikah,11.4
altın,11.4
kısmi,11.4
ibret,11.4
sakın,11.4
zemin,11.4
yenli,11.4
sırat,11.4
kahin,11.4
ihtar,11.4
rutin,11.4
antlı,11.4
nakıs,11.4
enzim,11.4
binek,11.4
sanık,11.4
maden,11.4
ıstar,11.4
kagir,11.4
kasnı,11.4
derin,11.4
keşan,11.4
tenya,11.4
sorma,11.4
ladin,11.4
rahne,11.4
satır,11.4
rasıt,11.4
keton,11.4
terbi,11.4
arızi,11.4
diren,11.4
ünite,11.4
tuman,11.4
muris,11.399999999999999
hamil,11.399999999999999
perki,11.399999999999999
sulta,11.399999999999999
ihmal,11.399999999999999
dikse,11.399999999999999
işmar,11.399999999999999
merih,11.399999999999999
kutsi,11.399999999999999
azoik,11.399999999999999
lades,11.399999999999999
lepra,11.399999999999999
mesul,11.399999999999999
siyer,11.399999999999999
halim,11.399999999999999
revak,11.399999999999999
ilham,11.399999999999999
evrak,11.399999999999999
okuma,11.399999999999999
kepir,11.399999999999999
imdat,11.399999999999999
arife,11.399999999999999
suret,11.399999999999999
ümran,11.399999999999999
seyir,11.399999999999999
mehil,11.3
içmek,11.3
kesbi,11.3
sedir,11.3
simya,11.3
lahit,11.3
okume,11.3
küsme,11.3
irşat,11.3
sahre,11.3
sadme,11.3
kümes,11.3
nasır,11.3
erbin,11.3
çekim,11.3
ülser,11.3
talih,11.3
hilat,11.3
ditme,11.3
noter,11.3
tehir,11.3
miraç,11.3
molas,11.3
sanrı,11.3
tenor,11.3
oralı,11.3
bikes,11.3
soket,11.3
sümek,11.3
natür,11.3
efkar,11.3
şimal,11.3
toner,11.3
imbat,11.3
solma,11.3
belit,11.3
semiz,11.3
ithal,11.3
mürit,11.3
paket,11.3
şamil,11.3
samut,11.3
telaş,11.3
tümel,11.3
april,11.3
lehim,11.3
çimek,11.3
mikap,11.3
biner,11.3
ermiş,11.3
bilet,11.3
amper,11.299999999999999
tanım,11.299999999999999
tonla,11.299999999999999
kaniş,11.299999999999999
tünek,11.299999999999999
nadim,11.299999999999999
idman,11.299999999999999
halen,11.299999999999999
yemin,11.299999999999999
denli,11.299999999999999
perma,11.299999999999999
nakşi,11.299999999999999
nükte,11.299999999999999
konsa,11.299999999999999
tonik,11.299999999999999
mantı,11.299999999999999
şeran,11.299999999999999
melon,11.299999999999999
akson,11.299999999999999
kilüs,11.299999999999999
tınma,11.299999999999999
tayin,11.299999999999999
kurya,11.299999999999999
kazıl,11.200000000000001
nasıl,11.200000000000001
notam,11.200000000000001
sanlı,11.200000000000001
kıray,11.200000000000001
limon,11.200000000000001
eşkin,11.200000000000001
monat,11.200000000000001
kayır,11.200000000000001
manto,11.200000000000001
yarık,11.200000000000001
ilhan,11.200000000000001
kütin,11.200000000000001
azlık,11.200000000000001
ayrık,11.200000000000001
rehin,11.2
hitam,11.2
niyet,11.2
işlem,11.2
astım,11.2
edalı,11.2
şilem,11.2
haris,11.2
mesut,11.2
hisar,11.2
sürme,11.2
korza,11.2
satım,11.2
hatmi,11.2
basil,11.2
ampir,11.2
etsiz,11.2
sürat,11.2
kefal,11.2
firak,11.2
kafir,11.2
takip,11.2
salto,11.2
işret,11.2
masnu,11.2
reşit,11.2
betim,11.2
sonra,11.2
siyme,11.2
libas,11.2
oksit,11.2
sadet,11.2
kirve,11.2
tirşe,11.2
kitap,11.2
fakir,11.2
namus,11.2
sunma,11.2
sirmo,11.2
naşir,11.2
nehir,11.2
bitme,11.2
şiran,11.2
benli,11.2
eflak,11.2
sümer,11.2
dinme,11.2
teşri,11.2
masun,11.2
etçik,11.2
nedim,11.2
hatim,11.2
demin,11.2
mastı,11.2
durak,11.2
kimüs,11.2
evrik,11.2
sıtma,11.2
şerit,11.2
denim,11.2
sonar,11.2
patik,11.2
kavil,11.2
lento,11.2
tekçi,11.2
itham,11.2
sarih,11.2
tasım,11.2
rubai,11.2
meriç,11.2
nebat,11.2
katip,11.2
arkoz,11.2
kurye,11.2
lümen,11.199999999999998
ünlem,11.199999999999998
sorit,11.100000000000001
neşir,11.100000000000001
semah,11.100000000000001
parti,11.100000000000001
refik,11.100000000000001
sorti,11.100000000000001
sebat,11.100000000000001
sebil,11.100000000000001
ishal,11.100000000000001
elçim,11.100000000000001
ferik,11.100000000000001
abuli,11.100000000000001
ihlas,11.100000000000001
sahil,11.100000000000001
silah,11.100000000000001
esham,11.100000000000001
imleç,11.100000000000001
viral,11.100000000000001
tepik,11.100000000000001
seyit,11.100000000000001
kefir,11.100000000000001
izole,11.100000000000001
varil,11.100000000000001
kesiş,11.100000000000001
tepki,11.100000000000001
talep,11.100000000000001
tapir,11.100000000000001
tuzak,11.100000000000001
palet,11.100000000000001
magri,11.100000000000001
vekil,11.100000000000001
miçel,11.100000000000001
çelim,11.100000000000001
içlem,11.100000000000001
izabe,11.100000000000001
hamse,11.100000000000001
sütre,11.100000000000001
üzeri,11.100000000000001
evlik,11.100000000000001
livar,11.100000000000001
sirto,11.100000000000001
halis,11.100000000000001
piket,11.100000000000001
yumak,11.1
sekiş,11.1
aşure,11.1
armuz,11.1
kolza,11.1
mebni,11.1
isyan,11.1
permi,11.1
nakip,11.1
şilte,11.1
salon,11.1
maruz,11.1
nikap,11.1
kavmi,11.1
tünel,11.1
gelir,11.1
koyar,11.1
ensiz,11.1
uymak,11.1
yamuk,11.1
mazur,11.1
kazım,11.1
aylık,11.1
binme,11.1
yasin,11.1
yular,11.1
oniks,11.1
sunta,11.1
liger,11.1
monte,11.1
tenha,11.1
lünet,11.1
lakoz,11.1
panik,11.1
burak,11.1
layık,11.1
sınma,11.1
menus,11.1
kramp,11.1
kızma,11.1
kavim,11.1
acemi,11.099999999999998
tasdi,11.099999999999998
amudi,11.099999999999998
dasit,11.099999999999998
yolak,11.0
mozak,11.0
yakım,11.0
mason,11.0
girme,11.0
kabul,11.0
serap,11.0
plati,11.0
vakit,11.0
hamsi,11.0
emval,11.0
evrat,11.0
mevki,11.0
stilo,11.0
basit,11.0
kravl,11.0
helis,11.0
tahin,11.0
yutak,11.0
seriş,11.0
kıyam,11.0
ercik,11.0
yıkma,11.0
yakut,11.0
şetim,11.0
kırba,11.0
dılak,11.0
moruk,11.0
mezru,11.0
kolay,11.0
seçal,11.0
faril,11.0
tavik,11.0
abiye,11.0
deist,11.0
talip,11.0
filar,11.0
erinç,11.0
seçki,11.0
hitan,11.0
ivmek,11.0
zorla,11.0
gerim,11.0
avret,11.0
ahize,11.0
sabit,11.0
kadro,11.0
etçil,11.0
sahte,11.0
üstel,11.0
haset,11.0
kıyma,11.0
gitar,11.0
grena,11.0
ferma,11.0
mevla,11.0
bakır,11.0
bulak,11.0
dural,11.0
tepir,11.0
iptal,11.0
kefil,11.0
laçin,10.999999999999998
tünme,10.999999999999998
munis,10.999999999999998
tümen,10.999999999999998
basen,10.999999999999998
himen,10.999999999999998
panel,10.999999999999998
abide,10.900000000000002
salep,10.900000000000002
mesih,10.900000000000002
çitme,10.900000000000002
pelit,10.900000000000002
yatık,10.900000000000002
evlat,10.900000000000002
tevki,10.900000000000002
semih,10.900000000000002
sehim,10.900000000000002
plase,10.900000000000002
bazik,10.900000000000002
gamet,10.900000000000002
kayıt,10.900000000000002
yakıt,10.900000000000002
zurna,10.9
zamlı,10.9
meşin,10.9
ardıl,10.9
ilenç,10.9
kahır,10.9
borak,10.9
ringa,10.9
orası,10.9
nakız,10.9
dolak,10.9
lazım,10.9
sahne,10.9
varit,10.9
sonat,10.9
inşat,10.9
balık,10.9
kobra,10.9
rical,10.9
hırka,10.9
yarım,10.9
kuzen,10.9
barok,10.9
revan,10.9
haluk,10.9
kızan,10.9
ayrım,10.9
balkı,10.9
aktif,10.899999999999999
bukle,10.899999999999999
verim,10.899999999999999
asude,10.899999999999999
kolye,10.899999999999999
mitos,10.899999999999999
etraf,10.899999999999999
zebra,10.899999999999999
derya,10.899999999999999
slayt,10.899999999999999
dekor,10.899999999999999
evrim,10.899999999999999
koyma,10.899999999999999
mecra,10.899999999999999
ferli,10.899999999999999
elcik,10.899999999999999
lokum,10.899999999999999
akdut,10.899999999999999
takoz,10.899999999999999
sathi,10.899999999999999
firma,10.899999999999999
yunak,10.899999999999999
tuzla,10.899999999999999
zükam,10.899999999999999
oymak,10.899999999999999
durma,10.899999999999999
lazut,10.899999999999999
efrat,10.899999999999999
dizek,10.899999999999999
yürek,10.899999999999999
diyar,10.8
rumba,10.8
sızak,10.8
viran,10.8
cemal,10.8
yankı,10.8
bizar,10.8
yanık,10.8
bezik,10.8
siper,10.8
bıkma,10.8
şarkı,10.8
ifrat,10.8
olmaz,10.8
giren,10.8
emcik,10.8
şırak,10.8
verit,10.8
kavis,10.8
kayın,10.8
üzmek,10.8
zeyil,10.8
timüs,10.8
mecal,10.8
glase,10.8
yakın,10.8
rafit,10.8
etfal,10.8
içsel,10.8
espri,10.8
karşı,10.8
mevta,10.8
iftar,10.8
altız,10.8
biraz,10.8
ibraz,10.8
sarig,10.8
otluk,10.8
dikey,10.8
haklı,10.8
karış,10.8
miyaz,10.8
kubat,10.8
bakım,10.8
yılma,10.8
bariz,10.8
ergin,10.8
tarif,10.8
dolar,10.8
ruble,10.8
uzlet,10.8
yatır,10.8
ayırt,10.8
kafes,10.8
mikoz,10.8
yalım,10.8
burma,10.8
salip,10.8
sakız,10.8
olası,10.8
şemsi,10.8
ayrıt,10.8
nazır,10.8
sigar,10.8
toklu,10.8
kunda,10.799999999999999
şakul,10.799999999999999
tacik,10.799999999999999
sümen,10.799999999999999
korun,10.799999999999999
pelin,10.799999999999999
yekun,10.799999999999999
kıble,10.799999999999999
sünme,10.799999999999999
paten,10.799999999999999
besin,10.799999999999999
nifak,10.799999999999999
kuron,10.799999999999999
nipel,10.799999999999999
ihsan,10.799999999999999
kuzin,10.799999999999999
kozan,10.799999999999999
intaç,10.799999999999999
konur,10.799999999999999
kıdem,10.799999999999999
infak,10.799999999999999
yomra,10.799999999999999
steno,10.799999999999999
çimen,10.799999999999999
besni,10.799999999999999
yorma,10.799999999999999
elvan,10.799999999999999
pinel,10.799999999999999
kablo,10.799999999999999
okapi,10.700000000000001
damlı,10.700000000000001
aşlık,10.700000000000001
kadın,10.700000000000001
çakır,10.700000000000001
zarsı,10.700000000000001
fenik,10.700000000000001
nesih,10.700000000000001
harlı,10.700000000000001
arsız,10.700000000000001
alkış,10.700000000000001
çıkar,10.700000000000001
kışla,10.700000000000001
içten,10.700000000000001
kıraç,10.700000000000001
kıyas,10.700000000000001
çiten,10.700000000000001
çıkra,10.700000000000001
bulma,10.700000000000001
sarız,10.700000000000001
ıhmak,10.700000000000001
icmal,10.700000000000001
kaşlı,10.700000000000001
kalış,10.700000000000001
andık,10.700000000000001
çetin,10.700000000000001
çarık,10.700000000000001
çırak,10.700000000000001
barut,10.7
uzman,10.7
kürdi,10.7
hamur,10.7
zahir,10.7
bezir,10.7
zümre,10.7
bloke,10.7
ibzal,10.7
gasil,10.7
mahur,10.7
merci,10.7
tranş,10.7
humar,10.7
darbe,10.7
sokur,10.7
batkı,10.7
medya,10.7
batur,10.7
abone,10.7
kisve,10.7
konya,10.7
borik,10.7
dizel,10.7
turba,10.7
badik,10.7
rozet,10.7
apiko,10.7
onluk,10.7
rakik,10.7
direy,10.7
elgin,10.7
bunak,10.7
sudak,10.7
gitme,10.7
müzik,10.7
opera,10.7
ricat,10.7
yarın,10.7
safer,10.7
ikrar,10.7
tabur,10.7
lenfa,10.7
ortay,10.7
imroz,10.7
irfan,10.7
ihraz,10.7
yutma,10.7
elips,10.7
kulaç,10.7
nazlı,10.7
mezür,10.7
torul,10.7
ortez,10.7
zanlı,10.7
kumaş,10.7
varis,10.7
terfi,10.7
imame,10.7
ajite,10.7
selva,10.7
fitre,10.7
latif,10.7
batık,10.7
oynak,10.7
gelin,10.7
canik,10.7
seçim,10.7
buket,10.7
ihzar,10.7
kadeh,10.7
komut,10.7
nevir,10.7
tacir,10.7
tevil,10.7
yolma,10.7
sergi,10.7
hurma,10.7
itlaf,10.7
izhar,10.7
maşuk,10.7
kudas,10.7
recim,10.7
israf,10.600000000000001
alkil,10.600000000000001
yatım,10.600000000000001
safir,10.600000000000001
bidar,10.600000000000001
visal,10.600000000000001
zehir,10.600000000000001
mazot,10.600000000000001
tozma,10.600000000000001
frisa,10.600000000000001
islav,10.600000000000001
peruk,10.600000000000001
